,Company Name,Job Title,City,State,Sal_min,Sal_max,Sal_avg
8294,Corporate Labs Technology,Data Scientist (Natural Language Processing),Brisbane,CA,110000.0,180000.0,145000.0
8316,Workbridge Associates,Data Scientist (Human Computation),SanFrancisco,CA,135000.0,165000.0,150000.0
8349,Workbridge Associates,Senior Data Scientist (Optimization),SanFrancisco,CA,140000.0,160000.0,150000.0
8392,Jobspring Partners,Data Scientist,RedwoodCity,CA,150000.0,170000.0,160000.0
8394,Workbridge Associates,Principal Data Scientist (Recommendation),SanFrancisco,CA,120000.0,160000.0,140000.0
8396,San Francisco Department of Public Health,Manager I - Chief Microbiologist,SanFrancisco,CA,98202.0,125346.0,111774.0
8419,Dashbot.io,Data Engineer and Scientist,SanFrancisco,CA,160000.0,180000.0,170000.0
8434,Dashbot.io,Data Engineer and Scientist,SanFrancisco,CA,160000.0,180000.0,170000.0
8455,Harnham,Senior Data Science Manager,SanFrancisco,CA,185000.0,,185000.0
8456,Workbridge Associates,Senior Data Scientist,SanFrancisco,CA,140000.0,180000.0,160000.0
8555,Jobspring Partners,Data Scientist- cool startup in RedWood City,RedwoodCity,CA,150000.0,180000.0,165000.0
8594,Workbridge Associates,Senior Data Engineer - Recommendation Platform,SanFrancisco,CA,145000.0,175000.0,160000.0
8615,Workbridge Associates,Data Engineer (Python),SanFrancisco,CA,140000.0,160000.0,150000.0
8634,All-In Analytics,Sr. Machine Learning Data Scientist,SanFrancisco,CA,120000.0,150000.0,135000.0
8665,Averity,Executive Director of Data Engineering,SanFrancisco,CA,180000.0,230000.0,205000.0
8667,Workbridge Associates,Principal Data Scientist,SanFrancisco,CA,170000.0,190000.0,180000.0
8784,University of California Berkeley,"Office Manager, Energy Institute at Haas ,",Berkeley,CA,65000.0,75000.0,70000.0
8872,MaxMind,Data Scientist,Waltham,MA,100000.0,,100000.0
8875,Strategic Employment Partners,Data Scientist,Boston,MA,170000.0,,170000.0
8903,Jobspring Partners,Data Scientist,Boston,MA,100000.0,130000.0,115000.0
8933,Jobspring Partners,Data Analysis,Boston,MA,80000.0,100000.0,90000.0
