,Company Name,Job Title,Location,Salary
310,Home Depot,DATA SCIENTIST- Space Optimization,"Atlanta, GA 30354 (Lakewood Heights-Southeastern area)",
311,Scientific Research Corporation,Software Engineer III,"Atlanta, GA 30339",
312,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
313,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
314,Predictive Science,Data Scientist,United States,
315,Cox Automotive,Data Scientist,"Atlanta, GA",
316,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
317,ADP,Sr. Director - Product Mgmt.-Mainframe AVS,"Alpharetta, GA 30005",
318,iSymmetry,Data Scientist Full Time W2 Only Local to Atlanta,"Atlanta, GA",
319,ADP,Principal SITECORE Appl. Developer,"Alpharetta, GA 30022",
320,Piedmont Healthcare,"Medical Technologist, Hematology, PRN, PAH","Atlanta, GA 30363 (Buckhead area)",
321,Klein Management Systems,Recruiter III (Software/IT),"Atlanta, GA",$57 an hour
322,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354 (Lakewood Heights-Southeastern area)",
323,KPMG,Data Scientist,"Atlanta, GA 30338",
324,ADP,Front-End Developer/UX Designer,"Alpharetta, GA 30005",
325,Oversight Systems,Solutions Development Engineer,"Atlanta, GA",
326,Feedzai,Data Scientist,"Atlanta, GA",
327,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
328,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
329,Predictive Science,Data Scientist,United States,
330,Cox Automotive,Data Scientist,"Atlanta, GA",
331,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
332,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
333,GE Power,Sr Staff Software Engineer – Accounts Receivable,"Atlanta, GA",
334,Shepherd Center,Clinical Research Scientist Physical Therapist,"Atlanta, GA 30309 (Midtown area)",
335,ADP,Java Application Developer - Rest / SQL / JUnit,"Alpharetta, GA 30005",
336,GE Power,Sr Staff Software Engineer - B2B eCommerce,"Atlanta, GA",
337,Georgia Tech Research Institute,Test Engineer- ELSYS 1194,"Atlanta, GA 30318 (Rockdale area)",
338,Amec Foster Wheeler,Air Quality Engineer,"Kennesaw, GA",
339,Georgia Tech Research Institute,Technical Project Manager - ACL IAPO 1170,"Atlanta, GA 30318 (Rockdale area)",
340,ADP,Director of Application Development,"Alpharetta, GA 30005",
341,Panasonic Automotive,Senior Software Engineer - Machine Learning Vision,"Atlanta, GA",
342,Delane Consulting and Talent Management,Data Scientist,"Alpharetta, GA",
343,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
344,Predictive Science,Data Scientist,United States,
345,Cox Automotive,Data Scientist,"Atlanta, GA",
346,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
347,GE Power,Staff Software Engineer – B2B eCommerce,"Atlanta, GA",
348,Terracon,Staff Industrial Hygienist,"Duluth, GA 30097",
349,Home Depot,Data Scientist Ops Research,"Atlanta, GA 30354 (Lakewood Heights-Southeastern area)",
350,"Emcien, Inc.",Backend Software Engineer: C/C++ Programmer,"Atlanta, GA",
351,"IHRC, Inc.",Genomics Laboratory Scientist - Parasitic/Leishmania,"Atlanta, GA 30346",
352,Verizon,Data Scientist - Digital Analytics,"Alpharetta, GA 30022",
353,ADP,UX Designer IV,"Alpharetta, GA 30005",
354,Lockheed Martin,Research Scientist,"Marietta, GA 30063",
355,Georgia Tech,Postdoctoral Fellow in the School of Civil & Environmental E...,"Atlanta, GA",
356,Honeywell,Analytics Data Scientist,"Atlanta, GA",
357,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
358,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
359,Predictive Science,Data Scientist,United States,
360,Cox Automotive,Data Scientist,"Atlanta, GA",
361,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
362,General Assembly,Part Time Data Science Instructor,"Atlanta, GA",
363,Lucas Group,Senior/Lead Data Science,"Alpharetta, GA",
364,Karna LLC,Biologist/Chemist,"Atlanta, GA 30329",
365,Children's Healthcare of Atlanta,Medical Technologist - PRN - Satellite Blvd Urgent Care,"Duluth, GA 30096",
366,"Galileo Search, LLC","Infection Prevention Specialist | California, Coast","Marietta, GA 30067",
367,Macy’s,Senior Developer - Machine Learning,"Johns Creek, GA",
368,"Geosyntec Consultants, Inc.",Toxicologist / Risk Assessment Scientist,"Atlanta, GA 30319",
369,Starr Companies,Statistical Reporting Accountant,"Atlanta, GA",
370,UCB S.A.,"Associate Director Data Scientist, Patient Insights and Inno...","Atlanta, GA",
371,Georgia Tech Research Institute,ISSO RSD TSC Atlanta 1140,"Atlanta, GA 30318 (Rockdale area)",
372,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
373,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
374,Predictive Science,Data Scientist,United States,
375,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
376,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
377,Scientific Research Corporation,CIVIL CONSTRUCTION MANAGER,"Atlanta, GA 30339",
378,Georgia Tech Research Institute,Embedded Software Engineer - ELSYS 1167,"Atlanta, GA 30318 (Rockdale area)",
379,Dynamac Corporation,Environmental Scientist I,"Atlanta, GA",
380,Consolidated Safety Services,Environmental Scientist I,"Atlanta, GA",
